ceremony,category,film,winner,imdb_rating,Metascore,Tomatometer,GoldenGlobe,BAFTAs,oldvalue
78,BEST PICTURE,Crash,TRUE,7.7,66,73%,won (Drama),none,nominated
78,BEST PICTURE,"Good Night, and Good Luck.",FALSE,7.4,80,93%,nominated,none,
78,BEST PICTURE,Munich,FALSE,7.5,74,78%,none,none,
79,BEST PICTURE,Babel,FALSE,7.5,69,68%,nominated,none,nominated
79,BEST PICTURE,The Departed,TRUE,8.5,85,91%,won (Drama),nominated,nominated
79,BEST PICTURE,Letters from Iwo Jima,FALSE,7.8,89,91%,none,none,
79,BEST PICTURE,Little Miss Sunshine,FALSE,7.8,80,91%,nominated,none,nominated
79,BEST PICTURE,The Queen,FALSE,7.1,90,92%,none,won,nominated
80,BEST PICTURE,Atonement,FALSE,7.8,85,83%,nominated,won,nominated
80,BEST PICTURE,Juno,FALSE,7.4,81,93%,none,none,
80,BEST PICTURE,Michael Clayton,FALSE,7.2,82,90%,nominated,nominated,
80,BEST PICTURE,No Country for Old Men,TRUE,8.2,92,93%,won (Drama),won,nominated
80,BEST PICTURE,There Will Be Blood,FALSE,8.2,93,91%,nominated,nominated,nominated
81,BEST PICTURE,The Curious Case of Benjamin Button,FALSE,7.8,70,72%,nominated,nominated,nominated
81,BEST PICTURE,Frost/Nixon,FALSE,7.6,80,93%,nominated,none,nominated
81,BEST PICTURE,Milk,FALSE,7.5,83,93%,none,none,nominated
81,BEST PICTURE,The Reader,FALSE,7.6,58,63%,none,none,nominated
81,BEST PICTURE,Slumdog Millionaire,TRUE,8,84,91%,won (Drama),won,nominated
82,BEST PICTURE,Avatar,FALSE,7.9,83,81%,nominated,nominated,nominated
82,BEST PICTURE,The Blind Side,FALSE,7.6,53,66%,none,none,
82,BEST PICTURE,District 9,FALSE,7.9,81,90%,none,none,
82,BEST PICTURE,An Education,FALSE,7.2,85,93%,none,none,nominated
82,BEST PICTURE,The Hurt Locker,TRUE,7.5,95,96%,nominated,won,nominated
82,BEST PICTURE,Inglourious Basterds,FALSE,8.4,69,89%,nominated,nominated,
82,BEST PICTURE,Precious,FALSE,7.3,78,97%,none,none,nominated
82,BEST PICTURE,A Serious Man,FALSE,7,88,89%,none,none,
82,BEST PICTURE,Up,FALSE,8.3,88,98%,none,none,
82,BEST PICTURE,Up in the Air,FALSE,7.4,83,90%,nominated,nominated,nominated
83,BEST PICTURE,Black Swan,FALSE,8,79,85%,nominated,none,nominated
83,BEST PICTURE,The Fighter,FALSE,7.8,79,91%,none,none,
83,BEST PICTURE,Inception,FALSE,8.8,74,87%,nominated,nominated,nominated
83,BEST PICTURE,The Kids Are All Right,FALSE,7,86,93%,nominated,none,
83,BEST PICTURE,The King's Speech,TRUE,8,88,94%,won (Drama),won,nominated
83,BEST PICTURE,127 Hours,FALSE,7.5,82,93%,none,none,
83,BEST PICTURE,The Social Network,FALSE,7.8,95,96%,won (Drama),won,nominated
83,BEST PICTURE,Toy Story 3,FALSE,8.3,92,98%,none,none,
83,BEST PICTURE,True Grit,FALSE,7.6,80,95%,none,none,nominated
83,BEST PICTURE,Winter's Bone,FALSE,7.1,90,94%,none,none,
84,BEST PICTURE,The Artist,TRUE,7.8,89,95%,won (Musical),won,nominated
84,BEST PICTURE,The Descendants,FALSE,7.3,84,88%,won (Drama),none,nominated
84,BEST PICTURE,Extremely Loud & Incredibly Close,FALSE,6.9,46,44%,none,none,
84,BEST PICTURE,The Help,FALSE,8.1,62,76%,none,none,nominated
84,BEST PICTURE,Hugo,FALSE,7.5,83,93%,none,none,
84,BEST PICTURE,Midnight in Paris,FALSE,7.6,81,93%,won (Musical),none,
84,BEST PICTURE,Moneyball,FALSE,7.6,87,94%,nominated,none,
84,BEST PICTURE,The Tree of Life,FALSE,6.8,85,85%,none,none,
84,BEST PICTURE,War Horse,FALSE,7.2,72,74%,none,none,
85,BEST PICTURE,Amour,FALSE,7.9,95,93%,none,none,
85,BEST PICTURE,Argo,TRUE,7.7,86,96%,won (Drama),won,nominated
85,BEST PICTURE,Beasts of the Southern Wild,FALSE,7.2,86,87%,none,none,
85,BEST PICTURE,Django Unchained,FALSE,8.5,81,87%,won (Drama),none,
85,BEST PICTURE,Les MisÃ©rables,FALSE,7.5,63,70%,won (Musical),nominated,
85,BEST PICTURE,Life of Pi,FALSE,7.9,79,86%,nominated,nominated,nominated
85,BEST PICTURE,Lincoln,FALSE,7.8,87,90%,nominated,none,nominated
85,BEST PICTURE,Silver Linings Playbook,FALSE,7.7,81,92%,won (Musical),none,
85,BEST PICTURE,Zero Dark Thirty,FALSE,7.4,95,91%,nominated,none,nominated
86,BEST PICTURE,American Hustle,FALSE,7.2,90,92%,won (Musical),nominated,nominated
86,BEST PICTURE,Captain Phillips,FALSE,7.8,82,93%,none,none,nominated
86,BEST PICTURE,Dallas Buyers Club,FALSE,7.9,77,92%,none,none,
86,BEST PICTURE,Gravity,FALSE,7.7,96,96%,nominated,none,nominated
86,BEST PICTURE,Her,FALSE,8,91,95%,none,none,
86,BEST PICTURE,Nebraska,FALSE,7.7,86,90%,none,none,
86,BEST PICTURE,Philomena,FALSE,7.6,77,91%,none,none,nominated
86,BEST PICTURE,12 Years a Slave,TRUE,8.1,96,95%,won (Drama),won,nominated
86,BEST PICTURE,The Wolf of Wall Street,FALSE,8.2,75,79%,won (Musical),nominated,
87,BEST PICTURE,American Sniper,FALSE,7.3,73,72%,none,none,
87,BEST PICTURE,Birdman or (The Unexpected Virtue of Ignorance),TRUE,7.7,87,91%,won (Musical),nominated,nominated
87,BEST PICTURE,Boyhood,FALSE,7.9,100,97%,won (Drama),won,nominated
87,BEST PICTURE,The Grand Budapest Hotel,FALSE,8.1,88,92%,won (Musical),nominated,nominated
87,BEST PICTURE,The Imitation Game,FALSE,8,71,90%,nominated,none,nominated
87,BEST PICTURE,Selma,FALSE,7.5,79,99%,none,none,
87,BEST PICTURE,The Theory of Everything,FALSE,7.7,71,81%,none,none,nominated
87,BEST PICTURE,Whiplash,FALSE,8.5,89,94%,none,none,
88,BEST PICTURE,The Big Short,FALSE,7.8,81,89%,won (Musical),none,nominated
88,BEST PICTURE,Bridge of Spies,FALSE,7.6,81,91%,none,none,nominated
88,BEST PICTURE,Brooklyn,FALSE,8.4,88,97%,none,none,
88,BEST PICTURE,Mad Max: Fury Road,FALSE,8.1,90,97%,none,none,
88,BEST PICTURE,The Martian,FALSE,8,80,91%,won (Musical),none,
88,BEST PICTURE,The Revenant,FALSE,8,76,78%,won (Drama),won,nominated
88,BEST PICTURE,Room,FALSE,8.1,86,93%,none,none,
88,BEST PICTURE,Spotlight,TRUE,8.1,93,97%,won (Drama),nominated,nominated
89,BEST PICTURE,Arrival,FALSE,7.9,81,94%,none,none,nominated
89,BEST PICTURE,Fences,FALSE,7.8,79,92%,none,none,
89,BEST PICTURE,Hacksaw Ridge,FALSE,8.1,71,84%,none,none,
89,BEST PICTURE,Hell or High Water,FALSE,7.6,88,97%,none,none,
89,BEST PICTURE,Hidden Figures,FALSE,7.8,74,93%,none,none,
89,BEST PICTURE,La La Land,FALSE,8,94,91%,won (Musical),won,nominated
89,BEST PICTURE,Lion,FALSE,6.7,69,84%,none,none,
89,BEST PICTURE,Manchester by the Sea,FALSE,7.8,96,96%,nominated,none,nominated
89,BEST PICTURE,Moonlight,TRUE,7.4,99,98%,won (Drama),none,nominated
90,BEST PICTURE,Call Me by Your Name,FALSE,7.8,94,95%,nominated,none,nominated
90,BEST PICTURE,Darkest Hour,FALSE,7.4,75,84%,none,none,nominated
90,BEST PICTURE,Dunkirk,FALSE,7.8,94,92%,nominated,won,nominated
90,BEST PICTURE,Get Out,FALSE,7.8,85,98%,nominated,none,
90,BEST PICTURE,Lady Bird,FALSE,7.4,93,99%,won (Musical),none,
90,BEST PICTURE,Phantom Thread,FALSE,7.4,90,91%,none,none,
90,BEST PICTURE,The Post,FALSE,7.2,83,88%,none,none,
90,BEST PICTURE,The Shape of Water,TRUE,7.3,87,92%,won (Drama),none,nominated
90,BEST PICTURE,"Three Billboards outside Ebbing, Missouri",FALSE,8.1,88,90%,won (Drama),won,
91,BEST PICTURE,Black Panther,FALSE,7.3,88,96%,nominated,none,
91,BEST PICTURE,BlacKkKlansman,FALSE,7.5,83,96%,nominated,none,nominated
91,BEST PICTURE,Bohemian Rhapsody,FALSE,7.9,49,60%,won (Drama),none,
91,BEST PICTURE,The Favourite,FALSE,7.5,91,93%,won (Musical),won,nominated
91,BEST PICTURE,Green Book,TRUE,8.2,69,77%,won (Musical),none,nominated
91,BEST PICTURE,Roma,FALSE,7.7,96,96%,none,won,nominated
91,BEST PICTURE,A Star Is Born,FALSE,7.6,88,90%,won (Drama),none,
91,BEST PICTURE,Vice,FALSE,7.2,61,64%,none,none,
92,BEST PICTURE,Ford v Ferrari,FALSE,8.1,81,92%,none,none,
92,BEST PICTURE,The Irishman,FALSE,7.8,94,95%,none,none,nominated
92,BEST PICTURE,Jojo Rabbit,FALSE,7.9,58,80%,none,none,
92,BEST PICTURE,Joker,FALSE,8.3,59,68%,won (Drama),none,nominated
92,BEST PICTURE,Little Women,FALSE,7.8,91,95%,nominated,none,
92,BEST PICTURE,Marriage Story,FALSE,7.9,94,95%,nominated,none,
92,BEST PICTURE,1917,FALSE,8.2,78,88%,won (Drama),won,nominated
92,BEST PICTURE,Once upon a Time...in Hollywood,FALSE,7.6,84,86%,won (Musical),nominated,
92,BEST PICTURE,Parasite,TRUE,8.5,97,99%,none,none,nominated
93,BEST PICTURE,The Father,FALSE,8.2,88,98%,none,none,nominated
93,BEST PICTURE,Judas and the Black Messiah,FALSE,7.4,84,96%,none,none,
93,BEST PICTURE,Mank,FALSE,6.8,79,83%,none,none,
93,BEST PICTURE,Minari,FALSE,7.4,89,98%,none,none,
93,BEST PICTURE,Nomadland,TRUE,7.3,87,93%,won (Drama),won,nominated
93,BEST PICTURE,Promising Young Woman,FALSE,7.5,72,90%,nominated,none,nominated
93,BEST PICTURE,Sound of Metal,FALSE,7.7,82,97%,none,none,
93,BEST PICTURE,The Trial of the Chicago 7,FALSE,7.7,76,89%,none,none,nominated
94,BEST PICTURE,Belfast,FALSE,7.2,75,86%,none,none,nominated
94,BEST PICTURE,CODA,TRUE,8,72,94%,won (Drama),none,
94,BEST PICTURE,Don't Look Up,FALSE,7.2,49,56%,none,none,nominated
94,BEST PICTURE,Drive My Car,FALSE,7.5,91,97%,none,none,
94,BEST PICTURE,Dune,FALSE,7.3,41,36%,none,won,nominated
94,BEST PICTURE,King Richard,FALSE,7.5,76,90%,none,none,
94,BEST PICTURE,Licorice Pizza,FALSE,7.1,90,90%,none,none,nominated
94,BEST PICTURE,Nightmare Alley,FALSE,7,70,80%,none,none,
94,BEST PICTURE,The Power of the Dog,FALSE,6.8,89,94%,nominated,won,nominated
94,BEST PICTURE,West Side Story,FALSE,7.1,86,92%,won (Musical),none,
95,BEST PICTURE,All Quiet on the Western Front,FALSE,8.1,76,90%,none,won,
95,BEST PICTURE,Avatar: The Way of Water,FALSE,7.5,67,76%,none,none,
95,BEST PICTURE,The Banshees of Inisherin,FALSE,7.7,87,96%,won (Musical),nominated,nominated
95,BEST PICTURE,Elvis,FALSE,7.3,64,77%,none,none,nominated
95,BEST PICTURE,Everything Everywhere All at Once,TRUE,7.8,81,94%,won (Musical),none,nominated
95,BEST PICTURE,The Fabelmans,FALSE,7.5,85,92%,none,none,
95,BEST PICTURE,TÃ¡r,FALSE,7.4,93,91%,nominated,none,
95,BEST PICTURE,Top Gun: Maverick,FALSE,8.2,78,96%,nominated,none,
95,BEST PICTURE,Triangle of Sadness,FALSE,7.3,63,72%,none,none,
95,BEST PICTURE,Women Talking,FALSE,6.9,77,90%,none,none,
96,BEST PICTURE,American Fiction,FALSE,7.5,81,93%,won (Musical),none,
96,BEST PICTURE,Anatomy of a Fall,FALSE,7.6,86,96%,none,none,
96,BEST PICTURE,Barbie,FALSE,6.8,80,88%,won (Musical),none,
96,BEST PICTURE,The Holdovers,FALSE,7.9,82,97%,none,none,nominated
96,BEST PICTURE,Killers of the Flower Moon,FALSE,7.6,89,93%,none,none,nominated
96,BEST PICTURE,Maestro,FALSE,6.5,77,78%,none,none,
96,BEST PICTURE,Oppenheimer,TRUE,8.3,90,93%,won (Drama),won,nominated
96,BEST PICTURE,Past Lives,FALSE,7.8,94,95%,none,none,
96,BEST PICTURE,Poor Things,FALSE,7.8,88,93%,won (Musical),none,nominated
96,BEST PICTURE,The Zone of Interest,FALSE,7.3,92,93%,none,none,
