ceremony,category,film,winner,imdb_rating,Metascore,Tomatometer
86,BEST PICTURE,American Hustle,False,7.2,90.0,92%
86,BEST PICTURE,Captain Phillips,False,7.8,82.0,93%
86,BEST PICTURE,Dallas Buyers Club,False,7.9,77.0,92%
86,BEST PICTURE,Gravity,False,7.7,96.0,96%
86,BEST PICTURE,Her,False,8.0,91.0,95%
86,BEST PICTURE,Nebraska,False,7.7,86.0,90%
86,BEST PICTURE,Philomena,False,7.6,77.0,91%
86,BEST PICTURE,12 Years a Slave,True,8.1,96.0,95%
86,BEST PICTURE,The Wolf of Wall Street,False,8.2,75.0,79%
87,BEST PICTURE,American Sniper,False,7.3,73.0,72%
87,BEST PICTURE,Birdman or (The Unexpected Virtue of Ignorance),True,7.7,87.0,91%
87,BEST PICTURE,Boyhood,False,7.9,100.0,97%
87,BEST PICTURE,The Grand Budapest Hotel,False,8.1,88.0,92%
87,BEST PICTURE,The Imitation Game,False,8.0,71.0,90%
87,BEST PICTURE,Selma,False,7.5,79.0,99%
87,BEST PICTURE,The Theory of Everything,False,7.7,71.0,81%
87,BEST PICTURE,Whiplash,False,8.5,89.0,94%
88,BEST PICTURE,The Big Short,False,7.8,81.0,89%
88,BEST PICTURE,Bridge of Spies,False,7.6,81.0,91%
88,BEST PICTURE,Brooklyn,False,8.4,88.0,97%
88,BEST PICTURE,Mad Max: Fury Road,False,8.1,90.0,97%
88,BEST PICTURE,The Martian,False,8.0,80.0,91%
88,BEST PICTURE,The Revenant,False,8.0,76.0,78%
88,BEST PICTURE,Room,False,8.1,86.0,93%
88,BEST PICTURE,Spotlight,True,8.1,93.0,97%
89,BEST PICTURE,Arrival,False,7.9,81.0,94%
89,BEST PICTURE,Fences,False,7.8,79.0,92%
89,BEST PICTURE,Hacksaw Ridge,False,8.1,71.0,84%
89,BEST PICTURE,Hell or High Water,False,7.6,88.0,97%
89,BEST PICTURE,Hidden Figures,False,7.8,74.0,93%
89,BEST PICTURE,La La Land,False,8.0,94.0,91%
89,BEST PICTURE,Lion,False,6.7,69.0,84%
89,BEST PICTURE,Manchester by the Sea,False,7.8,96.0,96%
89,BEST PICTURE,Moonlight,True,7.4,99.0,98%
90,BEST PICTURE,Call Me by Your Name,False,7.8,94.0,95%
90,BEST PICTURE,Darkest Hour,False,7.4,75.0,84%
90,BEST PICTURE,Dunkirk,False,7.8,94.0,92%
90,BEST PICTURE,Get Out,False,7.8,85.0,98%
90,BEST PICTURE,Lady Bird,False,7.4,93.0,99%
90,BEST PICTURE,Phantom Thread,False,7.4,90.0,91%
90,BEST PICTURE,The Post,False,7.2,83.0,88%
90,BEST PICTURE,The Shape of Water,True,7.3,87.0,92%
90,BEST PICTURE,"Three Billboards outside Ebbing, Missouri",False,8.1,88.0,90%
91,BEST PICTURE,Black Panther,False,7.3,88.0,96%
91,BEST PICTURE,BlacKkKlansman,False,7.5,83.0,96%
91,BEST PICTURE,Bohemian Rhapsody,False,7.9,49.0,60%
91,BEST PICTURE,The Favourite,False,7.5,91.0,93%
91,BEST PICTURE,Green Book,True,8.2,69.0,77%
91,BEST PICTURE,Roma,False,7.7,96.0,96%
91,BEST PICTURE,A Star Is Born,False,7.6,88.0,90%
91,BEST PICTURE,Vice,False,7.2,61.0,64%
92,BEST PICTURE,Ford v Ferrari,False,8.1,81.0,92%
92,BEST PICTURE,The Irishman,False,7.8,94.0,95%
92,BEST PICTURE,Jojo Rabbit,False,7.9,58.0,80%
92,BEST PICTURE,Joker,False,8.3,59.0,68%
92,BEST PICTURE,Little Women,False,7.8,91.0,95%
92,BEST PICTURE,Marriage Story,False,7.9,94.0,95%
92,BEST PICTURE,1917,False,8.2,78.0,88%
92,BEST PICTURE,Once upon a Time...in Hollywood,False,7.6,84.0,86%
92,BEST PICTURE,Parasite,True,8.5,97.0,99%
93,BEST PICTURE,The Father,False,8.2,88.0,98%
93,BEST PICTURE,Judas and the Black Messiah,False,7.4,84.0,96%
93,BEST PICTURE,Mank,False,6.8,79.0,83%
93,BEST PICTURE,Minari,False,7.4,89.0,98%
93,BEST PICTURE,Nomadland,True,7.3,87.0,93%
93,BEST PICTURE,Promising Young Woman,False,7.5,72.0,90%
93,BEST PICTURE,Sound of Metal,False,7.7,82.0,97%
93,BEST PICTURE,The Trial of the Chicago 7,False,7.7,76.0,89%
94,BEST PICTURE,Belfast,False,7.2,75.0,86%
94,BEST PICTURE,CODA,True,8.0,72.0,94%
94,BEST PICTURE,Don't Look Up,False,7.2,49.0,
94,BEST PICTURE,Drive My Car,False,7.5,91.0,97%
94,BEST PICTURE,Dune,False,7.3,41.0,36%
94,BEST PICTURE,King Richard,False,7.5,76.0,90%
94,BEST PICTURE,Licorice Pizza,False,7.1,90.0,90%
94,BEST PICTURE,Nightmare Alley,False,7.0,70.0,80%
94,BEST PICTURE,The Power of the Dog,False,6.8,89.0,94%
94,BEST PICTURE,West Side Story,False,7.1,86.0,92%
95,BEST PICTURE,All Quiet on the Western Front,False,8.1,76.0,90%
95,BEST PICTURE,Avatar: The Way of Water,False,7.5,67.0,76%
95,BEST PICTURE,The Banshees of Inisherin,False,7.7,87.0,96%
95,BEST PICTURE,Elvis,False,7.3,64.0,77%
95,BEST PICTURE,Everything Everywhere All at Once,True,7.8,81.0,94%
95,BEST PICTURE,The Fabelmans,False,7.5,85.0,92%
95,BEST PICTURE,Tár,False,7.4,93.0,
95,BEST PICTURE,Top Gun: Maverick,False,8.2,78.0,96%
95,BEST PICTURE,Triangle of Sadness,False,7.3,63.0,72%
95,BEST PICTURE,Women Talking,False,6.9,77.0,90%
96,BEST PICTURE,American Fiction,False,7.5,81.0,93%
96,BEST PICTURE,Anatomy of a Fall,False,7.6,86.0,96%
96,BEST PICTURE,Barbie,False,6.8,80.0,88%
96,BEST PICTURE,The Holdovers,False,7.9,82.0,97%
96,BEST PICTURE,Killers of the Flower Moon,False,7.6,89.0,93%
96,BEST PICTURE,Maestro,False,6.5,77.0,
96,BEST PICTURE,Oppenheimer,True,8.3,90.0,93%
96,BEST PICTURE,Past Lives,False,7.8,94.0,95%
96,BEST PICTURE,Poor Things,False,7.8,88.0,93%
96,BEST PICTURE,The Zone of Interest,False,7.3,92.0,93%
